BDLD_27_H,BDLD_27_H,BDLD_27_H,BDLD_27_H,BDLD_27_H,BDLD_27_H,"1,000","1,000","1,000",NA,NA,NA
BDLD_50_H,BDLD_50_H,BDLD_50_H,BDLD_50_H,BDLD_50_H,BDLD_50_H,500,500,500,NA,NA,NA
BDLD_14_H,BDLD_14_H,BDLD_14_H,BDLD_14_H,BDLD_14_H,BDLD_14_H,250,250,250,NA,NA,NA
3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,125,125,125,NA,NA,NA
204_TRIPLE_KO,204_TRIPLE_KO,204_TRIPLE_KO,204_TRIPLE_KO,204_TRIPLE_KO,204_TRIPLE_KO,63,63,63,NA,NA,NA
NA,NA,NA,NA,NA,NA,31,31,31,NA,NA,NA
NA,NA,NA,NA,NA,NA,16,16,16,NA,NA,NA
NA,NA,NA,NA,NA,NA,BLANK,BLANK,BLANK,NA,NA,NA
