0.516,0.461,0.470,0.032,0.025,0.037,0.315,0.290,0.274,0.022,0.026,0.033
0.759,0.702,0.637,0.020,0.015,0.021,0.958,0.916,0.906,0.021,0.025,0.029
0.013,0.010,0.010,0.011,0.017,0.017,0.040,0.026,0.023,0.025,0.025,0.024
-0.001,0.003,0.006,0.006,0.005,0.005,0.009,0.006,0.015,0.007,-0.003,0.008
0.015,0.016,0.015,0.023,0.027,0.027,0.030,0.022,0.024,0.029,0.029,0.024
0.581,0.039,0.803,0.021,0.011,0.010,0.015,0.006,0.015,0.013,0.927,0.610
0.556,0.028,0.824,0.015,0.008,0.015,0.005,0.009,0.011,0.010,0.345,0.202
0.622,0.026,0.829,0.014,0.013,0.019,0.004,0.010,0.014,0.002,0.099,0.000
