0.396,0.436,0.440,0.034,0.043,0.038,0.362,0.343,0.334,0.044,0.029,0.026
0.918,0.875,0.902,0.035,0.042,0.049,0.757,0.806,0.746,0.040,0.044,0.041
0.658,0.635,0.604,0.033,0.033,0.035,0.380,0.368,0.352,0.015,0.015,0.015
0.135,0.134,0.134,0.090,0.075,0.079,0.428,0.406,0.386,0.193,0.189,0.203
0.229,0.224,0.235,0.100,0.106,0.110,0.284,0.262,0.228,0.089,0.096,0.099
0.020,0.020,0.018,0.015,0.016,0.016,0.012,0.009,0.011,0.010,0.007,0.011
0.012,0.011,0.006,0.054,0.007,0.008,0.009,0.009,0.007,0.010,0.005,0.006
0.786,0.492,0.279,0.162,0.089,0.045,0.028,0.000,0.001,0.000,0.001,0.000
