3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP,3E10_GFP
69,69,69,69,69,69,69,69,69,69,69,69
590_L,590_L,590_L,590_L,590_L,590_L,590_L,590_L,590_L,590_L,590_L,590_L
614_H,614_H,614_H,614_H,614_H,614_H,614_H,614_H,614_H,614_H,614_H,614_H
614_L,614_L,614_L,614_L,614_L,614_L,614_L,614_L,614_L,614_L,614_L,614_L
T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H,T6BD_H
T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L,T6BD_L
"1,000",500,250,125,63,31,16,NA,NA,NA,NA,BLANK
