"MEASUREMENTS","CELL_LINES","CONDITIONS","STIM_DAYS","Plate","Date","Dilution_Factor","IL2_concentration","IL2_concentration_DILUTION_FACTOR"
0.02,"3E10_GFP","UNSTIM",3,2,2022-06-23,5,16.4639897803146,82.3199489015732
0.033,"69","UNSTIM",3,2,2022-06-23,5,27.1655831375192,135.827915687596
0.01,"590_L","UNSTIM",3,2,2022-06-23,5,8.23199489015732,41.1599744507866
0.084,"614_H","UNSTIM",3,2,2022-06-23,5,69.1487570773215,345.743785386608
0.058,"614_L","UNSTIM",3,2,2022-06-23,5,47.7455703629125,238.727851814562
0.008,"T6BD_H","UNSTIM",3,2,2022-06-23,5,6.58559591212586,32.9279795606293
0.005,"T6BD_L","UNSTIM",3,2,2022-06-23,5,4.11599744507866,20.5799872253933
0.016,"3E10_GFP","UNSTIM",3,2,2022-06-23,5,13.1711918242517,65.8559591212586
0.012,"69","UNSTIM",3,2,2022-06-23,5,9.87839386818879,49.3919693409439
0.021,"590_L","UNSTIM",3,2,2022-06-23,5,17.2871892693304,86.4359463466519
0.109,"614_H","UNSTIM",3,2,2022-06-23,5,89.7287443027148,448.643721513574
0.048,"614_L","UNSTIM",3,2,2022-06-23,5,39.5135754727552,197.567877363776
0.008,"T6BD_H","UNSTIM",3,2,2022-06-23,5,6.58559591212586,32.9279795606293
0.004,"T6BD_L","UNSTIM",3,2,2022-06-23,5,3.29279795606293,16.4639897803146
0.025,"3E10_GFP","UNSTIM",3,2,2022-06-23,5,20.5799872253933,102.899936126967
0.03,"69","UNSTIM",3,2,2022-06-23,5,24.695984670472,123.47992335236
0.015,"590_L","UNSTIM",3,2,2022-06-23,5,12.347992335236,61.7399616761799
0.088,"614_H","UNSTIM",3,2,2022-06-23,5,72.4415550333844,362.207775166922
0.053,"614_L","UNSTIM",3,2,2022-06-23,5,43.6295729178338,218.147864589169
0.004,"T6BD_H","UNSTIM",3,2,2022-06-23,5,3.29279795606293,16.4639897803146
0.005,"T6BD_L","UNSTIM",3,2,2022-06-23,5,4.11599744507866,20.5799872253933
-0.16,"BDLD_27_E","STIM",3,2,2023-05-04,5,-152.336339058148,-761.681695290741
-0.189,"BDLD_50_E","STIM",3,2,2023-05-04,5,-179.947300512438,-899.736502562188
-0.188,"BDLD_14_E","STIM",3,2,2023-05-04,5,-178.995198393324,-894.975991966621
-0.003,"3E10_GFP","STIM",3,2,2023-05-04,5,-2.85630635734028,-14.2815317867014
-0.196,"204_TRIPLE_KO","STIM",3,2,2023-05-04,5,-186.612015346232,-933.060076731158
0.964,"WT_EL4","STIM",3,2,2023-05-04,5,917.826442825343,4589.13221412671
-0.021,"BDLD_27_E","STIM",3,2,2023-05-04,5,-19.9941445013819,-99.9707225069098
-0.201,"BDLD_50_E","STIM",3,2,2023-05-04,5,-191.372525941799,-956.862629708993
-0.198,"BDLD_14_E","STIM",3,2,2023-05-04,5,-188.516219584458,-942.581097922292
-0.052,"3E10_GFP","STIM",3,2,2023-05-04,5,-49.5093101938982,-247.546550969491
-0.189,"204_TRIPLE_KO","STIM",3,2,2023-05-04,5,-179.947300512438,-899.736502562188
0.871,"WT_EL4","STIM",3,2,2023-05-04,5,829.280945747794,4146.40472873897
-0.141,"BDLD_27_E","STIM",3,2,2023-05-04,5,-134.246398794993,-671.231993974965
-0.196,"BDLD_50_E","STIM",3,2,2023-05-04,5,-186.612015346232,-933.060076731158
-0.182,"BDLD_14_E","STIM",3,2,2023-05-04,5,-173.282585678644,-866.412928393218
0.054,"3E10_GFP","STIM",3,2,2023-05-04,5,51.413514432125,257.067572160625
-0.199,"204_TRIPLE_KO","STIM",3,2,2023-05-04,5,-189.468321703572,-947.341608517859
1.335,"WT_EL4","STIM",3,2,2023-05-04,5,1271.05632901642,6355.28164508212
-0.187,"BDLD_27_E","UNSTIM",3,2,2023-05-04,5,-178.043096274211,-890.215481371053
-0.202,"BDLD_50_E","UNSTIM",3,2,2023-05-04,5,-192.324628060912,-961.62314030456
-0.2,"BDLD_14_E","UNSTIM",3,2,2023-05-04,5,-190.420423822685,-952.102119113426
-0.19,"3E10_GFP","UNSTIM",3,2,2023-05-04,5,-180.899402631551,-904.497013157755
-0.196,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-04,5,-186.612015346232,-933.060076731158
-0.127,"WT_EL4","UNSTIM",3,2,2023-05-04,5,-120.916969127405,-604.584845637026
0.117,"BDLD_27_E","UNSTIM",3,2,2023-05-04,5,111.395947936271,556.979739681354
-0.191,"BDLD_50_E","UNSTIM",3,2,2023-05-04,5,-181.851504750664,-909.257523753322
-0.198,"BDLD_14_E","UNSTIM",3,2,2023-05-04,5,-188.516219584458,-942.581097922292
-0.183,"3E10_GFP","UNSTIM",3,2,2023-05-04,5,-174.234687797757,-871.173438988785
-0.198,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-04,5,-188.516219584458,-942.581097922292
-0.157,"WT_EL4","UNSTIM",3,2,2023-05-04,5,-149.480032700808,-747.400163504039
-0.075,"BDLD_27_E","UNSTIM",3,2,2023-05-04,5,-71.407658933507,-357.038294667535
-0.19,"BDLD_50_E","UNSTIM",3,2,2023-05-04,5,-180.899402631551,-904.497013157755
-0.194,"BDLD_14_E","UNSTIM",3,2,2023-05-04,5,-184.707811108005,-923.539055540023
-0.167,"3E10_GFP","UNSTIM",3,2,2023-05-04,5,-159.001053891942,-795.005269459711
-0.196,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-04,5,-186.612015346232,-933.060076731158
-0.107,"WT_EL4","UNSTIM",3,2,2023-05-04,5,-101.874926745137,-509.374633725683
0.001,"BDLD_27_H","STIM",3,2,2023-05-12,10,0.517086137297724,5.17086137297724
-0.003,"BDLD_50_H","STIM",3,2,2023-05-12,10,-1.55125841189317,-15.5125841189317
0.004,"BDLD_14_H","STIM",3,2,2023-05-12,10,2.06834454919089,20.6834454919089
0.126,"3E10_GFP","STIM",3,2,2023-05-12,10,65.1528532995132,651.528532995132
0.001,"204_TRIPLE_KO","STIM",3,2,2023-05-12,10,0.517086137297724,5.17086137297724
-0.003,"BDLD_27_H","STIM",3,2,2023-05-12,10,-1.55125841189317,-15.5125841189317
-0.006,"BDLD_50_H","STIM",3,2,2023-05-12,10,-3.10251682378634,-31.0251682378634
0,"BDLD_14_H","STIM",3,2,2023-05-12,10,0,0
0.126,"3E10_GFP","STIM",3,2,2023-05-12,10,65.1528532995132,651.528532995132
0.001,"204_TRIPLE_KO","STIM",3,2,2023-05-12,10,0.517086137297724,5.17086137297724
-0.003,"BDLD_27_H","STIM",3,2,2023-05-12,10,-1.55125841189317,-15.5125841189317
-0.007,"BDLD_50_H","STIM",3,2,2023-05-12,10,-3.61960296108406,-36.1960296108406
-0.007,"BDLD_14_H","STIM",3,2,2023-05-12,10,-3.61960296108406,-36.1960296108406
0.091,"3E10_GFP","STIM",3,2,2023-05-12,10,47.0548384940928,470.548384940928
0,"204_TRIPLE_KO","STIM",3,2,2023-05-12,10,0,0
-0.006,"BDLD_27_H","UNSTIM",3,2,2023-05-12,10,-3.10251682378634,-31.0251682378634
-0.008,"BDLD_50_H","UNSTIM",3,2,2023-05-12,10,-4.13668909838179,-41.3668909838179
-0.003,"BDLD_14_H","UNSTIM",3,2,2023-05-12,10,-1.55125841189317,-15.5125841189317
0.01,"3E10_GFP","UNSTIM",3,2,2023-05-12,10,5.17086137297724,51.7086137297724
-0.001,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-12,10,-0.517086137297724,-5.17086137297724
-0.004,"BDLD_27_H","UNSTIM",3,2,2023-05-12,10,-2.06834454919089,-20.6834454919089
-0.009,"BDLD_50_H","UNSTIM",3,2,2023-05-12,10,-4.65377523567951,-46.5377523567951
-0.006,"BDLD_14_H","UNSTIM",3,2,2023-05-12,10,-3.10251682378634,-31.0251682378634
0.012,"3E10_GFP","UNSTIM",3,2,2023-05-12,10,6.20503364757268,62.0503364757268
-0.002,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-12,10,-1.03417227459545,-10.3417227459545
0.004,"BDLD_27_H","UNSTIM",3,2,2023-05-12,10,2.06834454919089,20.6834454919089
-0.006,"BDLD_50_H","UNSTIM",3,2,2023-05-12,10,-3.10251682378634,-31.0251682378634
-0.005,"BDLD_14_H","UNSTIM",3,2,2023-05-12,10,-2.58543068648862,-25.8543068648862
0.013,"3E10_GFP","UNSTIM",3,2,2023-05-12,10,6.72211978487041,67.2211978487041
0.004,"204_TRIPLE_KO","UNSTIM",3,2,2023-05-12,10,2.06834454919089,20.6834454919089
0.009,"BDLD_62_H","STIM",3,2,2023-06-21,10,2.5868987382724,25.868987382724
-0.002,"BDLD_10_H","STIM",3,2,2023-06-21,10,-0.574866386282756,-5.74866386282756
0.362,"3E10_GFP","STIM",3,2,2023-06-21,10,104.050815917179,1040.50815917179
-0.001,"204_TRIPLE_KO","STIM",3,2,2023-06-21,10,-0.287433193141378,-2.87433193141378
0.255,"BDLD_57_H","STIM",3,2,2023-06-21,10,73.2954642510514,732.954642510514
-0.002,"BDLD_2_H","STIM",3,2,2023-06-21,10,-0.574866386282756,-5.74866386282756
0,"BDLD_62_H","STIM",3,2,2023-06-21,10,0,0
-0.001,"BDLD_10_H","STIM",3,2,2023-06-21,10,-0.287433193141378,-2.87433193141378
0.235,"3E10_GFP","STIM",3,2,2023-06-21,10,67.5468003882239,675.468003882239
-0.003,"204_TRIPLE_KO","STIM",3,2,2023-06-21,10,-0.862299579424135,-8.62299579424135
0.155,"BDLD_57_H","STIM",3,2,2023-06-21,10,44.5521449369136,445.521449369136
-0.002,"BDLD_2_H","STIM",3,2,2023-06-21,10,-0.574866386282756,-5.74866386282756
0.002,"BDLD_62_H","STIM",3,2,2023-06-21,10,0.574866386282756,5.74866386282756
0.001,"BDLD_10_H","STIM",3,2,2023-06-21,10,0.287433193141378,2.87433193141378
0.361,"3E10_GFP","STIM",3,2,2023-06-21,10,103.763382724038,1037.63382724038
0.007,"204_TRIPLE_KO","STIM",3,2,2023-06-21,10,2.01203235198965,20.1203235198965
0.196,"BDLD_57_H","STIM",3,2,2023-06-21,10,56.3369058557101,563.369058557101
0.004,"BDLD_2_H","STIM",3,2,2023-06-21,10,1.14973277256551,11.4973277256551
0.001,"BDLD_62_H","UNSTIM",3,2,2023-06-21,10,0.287433193141378,2.87433193141378
-0.004,"BDLD_10_H","UNSTIM",3,2,2023-06-21,10,-1.14973277256551,-11.4973277256551
0.011,"3E10_GFP","UNSTIM",3,2,2023-06-21,10,3.16176512455516,31.6176512455516
0.002,"204_TRIPLE_KO","UNSTIM",3,2,2023-06-21,10,0.574866386282756,5.74866386282756
0.035,"BDLD_57_H","UNSTIM",3,2,2023-06-21,10,10.0601617599482,100.601617599482
0.009,"BDLD_2_H","UNSTIM",3,2,2023-06-21,10,2.5868987382724,25.868987382724
-0.005,"BDLD_62_H","UNSTIM",3,2,2023-06-21,10,-1.43716596570689,-14.3716596570689
0.012,"BDLD_10_H","UNSTIM",3,2,2023-06-21,10,3.44919831769654,34.4919831769654
0.031,"3E10_GFP","UNSTIM",3,2,2023-06-21,10,8.91042898738272,89.1042898738272
0.009,"204_TRIPLE_KO","UNSTIM",3,2,2023-06-21,10,2.5868987382724,25.868987382724
0.008,"BDLD_57_H","UNSTIM",3,2,2023-06-21,10,2.29946554513103,22.9946554513103
0.004,"BDLD_2_H","UNSTIM",3,2,2023-06-21,10,1.14973277256551,11.4973277256551
0.001,"BDLD_62_H","UNSTIM",3,2,2023-06-21,10,0.287433193141378,2.87433193141378
-0.001,"BDLD_10_H","UNSTIM",3,2,2023-06-21,10,-0.287433193141378,-2.87433193141378
0.032,"3E10_GFP","UNSTIM",3,2,2023-06-21,10,9.1978621805241,91.978621805241
0.006,"204_TRIPLE_KO","UNSTIM",3,2,2023-06-21,10,1.72459915884827,17.2459915884827
0.008,"BDLD_57_H","UNSTIM",3,2,2023-06-21,10,2.29946554513103,22.9946554513103
0.017,"BDLD_2_H","UNSTIM",3,2,2023-06-21,10,4.88636428340343,48.8636428340343
0.007,"BDLD_10_H","STIM",4,2,2023-06-21,10,2.01203235198965,20.1203235198965
-0.002,"BDLD_62_H","STIM",4,2,2023-06-21,10,-0.574866386282756,-5.74866386282756
0.275,"3E10_GFP","STIM",4,2,2023-06-21,10,79.044128113879,790.44128113879
0.001,"204_TRIPLE_KO","STIM",4,2,2023-06-21,10,0.287433193141378,2.87433193141378
0.003,"BDLD_10_H","UNSTIM",4,2,2023-06-21,10,0.862299579424135,8.62299579424135
0.001,"BDLD_62_H","UNSTIM",4,2,2023-06-21,10,0.287433193141378,2.87433193141378
0.042,"3E10_GFP","UNSTIM",4,2,2023-06-21,10,12.0721941119379,120.721941119379
0,"204_TRIPLE_KO","UNSTIM",4,2,2023-06-21,10,0,0
-0.003,"BDLD_10_H","STIM",4,2,2023-06-21,10,-0.862299579424135,-8.62299579424135
-0.007,"BDLD_62_H","STIM",4,2,2023-06-21,10,-2.01203235198965,-20.1203235198965
0.196,"3E10_GFP","STIM",4,2,2023-06-21,10,56.3369058557101,563.369058557101
0.008,"204_TRIPLE_KO","STIM",4,2,2023-06-21,10,2.29946554513103,22.9946554513103
0.001,"BDLD_10_H","UNSTIM",4,2,2023-06-21,10,0.287433193141378,2.87433193141378
-0.001,"BDLD_62_H","UNSTIM",4,2,2023-06-21,10,-0.287433193141378,-2.87433193141378
0.032,"3E10_GFP","UNSTIM",4,2,2023-06-21,10,9.1978621805241,91.978621805241
0.001,"204_TRIPLE_KO","UNSTIM",4,2,2023-06-21,10,0.287433193141378,2.87433193141378
0,"BDLD_10_H","STIM",4,2,2023-06-21,10,0,0
0.002,"BDLD_62_H","STIM",4,2,2023-06-21,10,0.574866386282756,5.74866386282756
0.242,"3E10_GFP","STIM",4,2,2023-06-21,10,69.5588327402135,695.588327402135
0.002,"204_TRIPLE_KO","STIM",4,2,2023-06-21,10,0.574866386282756,5.74866386282756
0.005,"BDLD_10_H","UNSTIM",4,2,2023-06-21,10,1.43716596570689,14.3716596570689
0.009,"BDLD_62_H","UNSTIM",4,2,2023-06-21,10,2.5868987382724,25.868987382724
0.041,"3E10_GFP","UNSTIM",4,2,2023-06-21,10,11.7847609187965,117.847609187965
-0.003,"204_TRIPLE_KO","UNSTIM",4,2,2023-06-21,10,-0.862299579424135,-8.62299579424135
0.014,"BDLD_7","STIM",3,2,2023-07-04,10,10.9884812751921,109.884812751921
0.017,"BDLD_46","STIM",3,2,2023-07-04,10,13.3431558341619,133.431558341619
0.017,"BDLD_69","STIM",3,2,2023-07-04,10,13.3431558341619,133.431558341619
0.015,"BDLD_73","STIM",3,2,2023-07-04,10,11.7733727948487,117.733727948487
0.787,"3E10_GFP","STIM",3,2,2023-07-04,10,617.709625969729,6177.09625969729
0.016,"204_TRIPLE_KO","STIM",3,2,2023-07-04,10,12.5582643145053,125.582643145053
0.011,"BDLD_7","STIM",3,2,2023-07-04,10,8.63380671622238,86.3380671622238
0.017,"BDLD_46","STIM",3,2,2023-07-04,10,13.3431558341619,133.431558341619
0.016,"BDLD_69","STIM",3,2,2023-07-04,10,12.5582643145053,125.582643145053
0.018,"BDLD_73","STIM",3,2,2023-07-04,10,14.1280473538184,141.280473538184
0.703,"3E10_GFP","STIM",3,2,2023-07-04,10,551.778738318576,5517.78738318576
0.017,"204_TRIPLE_KO","STIM",3,2,2023-07-04,10,13.3431558341619,133.431558341619
0.011,"BDLD_7","STIM",3,2,2023-07-04,10,8.63380671622238,86.3380671622238
0.019,"BDLD_46","STIM",3,2,2023-07-04,10,14.912938873475,149.12938873475
0.015,"BDLD_69","STIM",3,2,2023-07-04,10,11.7733727948487,117.733727948487
0.015,"BDLD_73","STIM",3,2,2023-07-04,10,11.7733727948487,117.733727948487
0.835,"3E10_GFP","STIM",3,2,2023-07-04,10,655.384418913244,6553.84418913244
0.013,"204_TRIPLE_KO","STIM",3,2,2023-07-04,10,10.2035897555355,102.035897555355
0.01,"BDLD_7","UNSTIM",3,2,2023-07-04,10,7.8489151965658,78.489151965658
0.014,"BDLD_46","UNSTIM",3,2,2023-07-04,10,10.9884812751921,109.884812751921
0.016,"BDLD_69","UNSTIM",3,2,2023-07-04,10,12.5582643145053,125.582643145053
0.014,"BDLD_73","UNSTIM",3,2,2023-07-04,10,10.9884812751921,109.884812751921
0.116,"3E10_GFP","UNSTIM",3,2,2023-07-04,10,91.0474162801633,910.474162801633
0.011,"204_TRIPLE_KO","UNSTIM",3,2,2023-07-04,10,8.63380671622238,86.3380671622238
0.008,"BDLD_7","UNSTIM",3,2,2023-07-04,10,6.27913215725264,62.7913215725264
0.01,"BDLD_46","UNSTIM",3,2,2023-07-04,10,7.8489151965658,78.489151965658
0.013,"BDLD_69","UNSTIM",3,2,2023-07-04,10,10.2035897555355,102.035897555355
0.012,"BDLD_73","UNSTIM",3,2,2023-07-04,10,9.41869823587896,94.1869823587896
0.118,"3E10_GFP","UNSTIM",3,2,2023-07-04,10,92.6171993194765,926.171993194765
0.012,"204_TRIPLE_KO","UNSTIM",3,2,2023-07-04,10,9.41869823587896,94.1869823587896
0.014,"BDLD_7","UNSTIM",3,2,2023-07-04,10,10.9884812751921,109.884812751921
0.012,"BDLD_46","UNSTIM",3,2,2023-07-04,10,9.41869823587896,94.1869823587896
0.018,"BDLD_69","UNSTIM",3,2,2023-07-04,10,14.1280473538184,141.280473538184
0.025,"BDLD_73","UNSTIM",3,2,2023-07-04,10,19.6222879914145,196.222879914145
0.103,"3E10_GFP","UNSTIM",3,2,2023-07-04,10,80.8438265246278,808.438265246278
0.012,"204_TRIPLE_KO","UNSTIM",3,2,2023-07-04,10,9.41869823587896,94.1869823587896
0.22,"BDLD_6","STIM",1,3,2023-07-04,10,138.095606698286,1380.95606698286
0.01,"BDLD_67","STIM",1,3,2023-07-04,10,6.27707303174028,62.7707303174029
0.919,"3E10_GFP","STIM",1,3,2023-07-04,10,576.863011616932,5768.63011616932
0.011,"204_TRIPLE_KO","STIM",1,3,2023-07-04,10,6.90478033491431,69.0478033491431
0.761,"BDLD_6","STIM",3,3,2023-07-04,10,477.685257715436,4776.85257715436
0.025,"BDLD_67","STIM",3,3,2023-07-04,10,15.6926825793507,156.926825793507
1.042,"3E10_GFP","STIM",3,3,2023-07-04,10,654.071009907338,6540.71009907338
0.025,"204_TRIPLE_KO","STIM",3,3,2023-07-04,10,15.6926825793507,156.926825793507
0.011,"BDLD_67","STIM",1,3,2023-07-04,10,6.90478033491431,69.0478033491431
0.763,"3E10_GFP","STIM",1,3,2023-07-04,10,478.940672321784,4789.40672321784
0.012,"204_TRIPLE_KO","STIM",1,3,2023-07-04,10,7.53248763808834,75.3248763808834
0.76,"BDLD_6","STIM",3,3,2023-07-04,10,477.057550412262,4770.57550412262
0.036,"BDLD_67","STIM",3,3,2023-07-04,10,22.597462914265,225.97462914265
0.999,"3E10_GFP","STIM",3,3,2023-07-04,10,627.079595870854,6270.79595870854
0.025,"204_TRIPLE_KO","STIM",3,3,2023-07-04,10,15.6926825793507,156.926825793507
0.246,"BDLD_6","STIM",1,3,2023-07-04,10,154.415996580811,1544.15996580811
0.009,"BDLD_67","STIM",1,3,2023-07-04,10,5.64936572856626,56.4936572856626
0.962,"3E10_GFP","STIM",1,3,2023-07-04,10,603.854425653415,6038.54425653415
0.011,"204_TRIPLE_KO","STIM",1,3,2023-07-04,10,6.90478033491431,69.0478033491431
0.769,"BDLD_6","STIM",3,3,2023-07-04,10,482.706916140828,4827.06916140828
0.024,"BDLD_67","STIM",3,3,2023-07-04,10,15.0649752761767,150.649752761767
1.068,"3E10_GFP","STIM",3,3,2023-07-04,10,670.391399789862,6703.91399789862
0.019,"204_TRIPLE_KO","STIM",3,3,2023-07-04,10,11.9264387603065,119.264387603065
0.028,"BDLD_6","UNSTIM",1,3,2023-07-04,10,17.5758044888728,175.758044888728
0.012,"BDLD_67","UNSTIM",1,3,2023-07-04,10,7.53248763808834,75.3248763808834
0.107,"3E10_GFP","UNSTIM",1,3,2023-07-04,10,67.164681439621,671.64681439621
0.01,"204_TRIPLE_KO","UNSTIM",1,3,2023-07-04,10,6.27707303174028,62.7707303174029
0.092,"BDLD_6","UNSTIM",3,3,2023-07-04,10,57.7490718920106,577.490718920106
0.04,"BDLD_67","UNSTIM",3,3,2023-07-04,10,25.1082921269611,251.082921269611
0.14,"3E10_GFP","UNSTIM",3,3,2023-07-04,10,87.879022444364,878.79022444364
0.019,"204_TRIPLE_KO","UNSTIM",3,3,2023-07-04,10,11.9264387603065,119.264387603065
0.033,"BDLD_6","UNSTIM",1,3,2023-07-04,10,20.7143410047429,207.143410047429
0.012,"BDLD_67","UNSTIM",1,3,2023-07-04,10,7.53248763808834,75.3248763808834
0.066,"3E10_GFP","UNSTIM",1,3,2023-07-04,10,41.4286820094859,414.286820094859
0.011,"204_TRIPLE_KO","UNSTIM",1,3,2023-07-04,10,6.90478033491431,69.0478033491431
0.084,"BDLD_6","UNSTIM",3,3,2023-07-04,10,52.7274134666184,527.274134666184
0.055,"BDLD_67","UNSTIM",3,3,2023-07-04,10,34.5239016745716,345.239016745716
0.094,"3E10_GFP","UNSTIM",3,3,2023-07-04,10,59.0044864983587,590.044864983587
0.023,"204_TRIPLE_KO","UNSTIM",3,3,2023-07-04,10,14.4372679730027,144.372679730027
0.031,"BDLD_6","UNSTIM",1,3,2023-07-04,10,19.4589263983949,194.589263983949
0.009,"BDLD_67","UNSTIM",1,3,2023-07-04,10,5.64936572856626,56.4936572856626
0.113,"3E10_GFP","UNSTIM",1,3,2023-07-04,10,70.9309252586652,709.309252586652
0.008,"204_TRIPLE_KO","UNSTIM",1,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.13,"BDLD_6","UNSTIM",3,3,2023-07-04,10,81.6019494126237,816.019494126237
0.022,"BDLD_67","UNSTIM",3,3,2023-07-04,10,13.8095606698286,138.095606698286
0.126,"3E10_GFP","UNSTIM",3,3,2023-07-04,10,79.0911201999276,790.911201999276
0.02,"204_TRIPLE_KO","UNSTIM",3,3,2023-07-04,10,12.5541460634806,125.541460634806
0.307,"BDLD_6","STIM",2,3,2023-07-04,10,192.706142074427,1927.06142074427
0.008,"BDLD_67","STIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.409,"3E10_GFP","STIM",2,3,2023-07-04,10,256.732286998178,2567.32286998178
0.015,"204_TRIPLE_KO","STIM",2,3,2023-07-04,10,9.41560954761043,94.1560954761043
0.341,"BDLD_6","STIM",2,3,2023-07-04,10,214.048190382344,2140.48190382344
0.01,"BDLD_67","STIM",2,3,2023-07-04,10,6.27707303174028,62.7707303174029
0.476,"3E10_GFP","STIM",2,3,2023-07-04,10,298.788676310838,2987.88676310837
0.01,"204_TRIPLE_KO","STIM",2,3,2023-07-04,10,6.27707303174028,62.7707303174029
0.282,"BDLD_6","STIM",2,3,2023-07-04,10,177.013459495076,1770.13459495076
0.029,"BDLD_67","STIM",2,3,2023-07-04,10,18.2035117920468,182.035117920468
0.33,"3E10_GFP","STIM",2,3,2023-07-04,10,207.143410047429,2071.43410047429
0.008,"204_TRIPLE_KO","STIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.024,"BDLD_6","UNSTIM",2,3,2023-07-04,10,15.0649752761767,150.649752761767
0.008,"BDLD_67","UNSTIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.034,"3E10_GFP","UNSTIM",2,3,2023-07-04,10,21.342048307917,213.42048307917
0.008,"204_TRIPLE_KO","UNSTIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.022,"BDLD_6","UNSTIM",2,3,2023-07-04,10,13.8095606698286,138.095606698286
0.008,"BDLD_67","UNSTIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.041,"3E10_GFP","UNSTIM",2,3,2023-07-04,10,25.7359994301352,257.359994301352
0.009,"204_TRIPLE_KO","UNSTIM",2,3,2023-07-04,10,5.64936572856626,56.4936572856626
0.029,"BDLD_6","UNSTIM",2,3,2023-07-04,10,18.2035117920468,182.035117920468
0.008,"BDLD_67","UNSTIM",2,3,2023-07-04,10,5.02165842539223,50.2165842539223
0.038,"3E10_GFP","UNSTIM",2,3,2023-07-04,10,23.8528775206131,238.528775206131
0.011,"204_TRIPLE_KO","UNSTIM",2,3,2023-07-04,10,6.90478033491431,69.0478033491431
