0.029,0.029,0.026,0.032,0.020,0.028,0.013,0.016,0.012,0.014,0.013,0.010
0.029,0.037,0.023,0.029,0.020,0.019,0.020,0.029,0.018,0.012,0.016,0.006
0.030,0.027,0.017,0.030,0.023,0.023,0.017,0.014,0.008,0.015,0.013,0.012
0.029,0.032,0.033,0.039,0.022,0.023,0.021,0.022,0.022,0.009,0.008,0.007
0.401,0.465,0.467,0.051,0.044,0.053,0.267,0.306,0.407,0.041,0.041,0.031
0.024,0.026,0.026,0.023,0.024,0.021,0.013,0.015,0.011,0.012,0.006,0.005
2.546,1.876,1.074,0.600,0.320,0.167,0.078,-0.008,-0.009,-0.011,-0.008,-0.012
2.578,1.881,1.078,0.625,0.322,0.170,-0.011,0.085,0.012,-0.008,-0.003,0.000
